lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
  2 |  * | 845| 1|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 845| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18131632| A A|    2 |     |   |  |
    |  3 | 845| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18146744| A A|    1 |     |   |  |
    |  3 | 845| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18161856| A A|    0 |     |   |  |
    |  3 | 845| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18143808| A A|    7 |     |   |  |
  2 |  * | 845| 5|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 845| 5| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    84672 |   0.87 |18169968| A A|   63 |  15 | 15| 2|
    |  3 | 845| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18174024| A A|    5 |     |   |  |
    |  3 | 845| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18178080| A A|    4 |     |   |  |
    |  3 | 845| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18204248| A A|    3 |     |   |  |
  2 |  * | 845| 9|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 845| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18197248|    |      |     |   |  |
    |  3 | 846| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |        |    |      |     |   |  |
